Name,Medium,Type,Secondary Type,Tertiary Type,Product Name,Username,Manufacturer,Model,Developer,Author,Editor,Publisher,Language,Year,Original Price,Identifying Number,Floppy Drive,Optical Drive,Hard Disk Drive,RAM,CPU,External Connections,Internal Connections,Operating System,Compatibility,Accession Number,Date Tested,Donor,notes,Author,Theme,image,360_image
Atari BASIC,Printed Matter,Book,Reference,BASIC,Atari BASIC,,,,,"Bob Albrecht, Le Roy Finkel, and Jerald R. Brown",,John Wiley & Sons,English,1979,, 0-471-06496-3,,,,,,,,,,2013.07.829,,Timothy P. Sweeney,Photocopied pages in white binder.,,,,
Scram (A Nuclear Power Plant Simulation),Printed Matter,Manual,User,Software,Scram (A Nuclear Power Plant Simulation),,,,,Atari,,Atari,English,1981,,C015727-23 Rev. 2,,,,,,,,,,2013.07.830,,Timothy P. Sweeney,Model CX4123. Use with ATARI 400 or ATARI 800 Personal Computer Systems.,,,,
NEC - JC-1215MA 12’’ Color Monitor - Owner’s Manual,Printed Matter,Manual,User,Monitor,NEC - JC-1215MA 12’’ Color Monitor - Owner’s Manual,,,,,NEC Home Electronics,,NEC Home Electronics,English,,,78111013,,,,,,,,,,2013.07.831,,Timothy P. Sweeney,,,,,
Atari - The Atari 800XL Home Computer - Owner’s Guide,Printed Matter,Manual,User,Atari,Atari - The Atari 800XL Home Computer - Owner’s Guide,,,,,Atari,,Atari,English,1983,,C061859 Rev. A,,,,,,,,,,2013.07.832,,Timothy P. Sweeney,,,,,
"Atari Connection - Volume 3, Number 1 - Spring 1983",Printed Matter,Periodical,Narrow Topic,Atari 8-Bit,"Atari Connection - Volume 3, Number 1 - Spring 1983",,,,,,,Atari Inc.,English,1983,,C017668-09,,,,,,,,,,2013.07.833,,Timothy P. Sweeney,,,,,
"Atari Connection - Volume 2, Number 4 - Winter 1982-93",Printed Matter,Periodical,Narrow Topic,Atari 8-Bit,"Atari Connection - Volume 2, Number 4 - Winter 1982-93",,,,,,,Atari Inc.,English,1982,,C017668-08,,,,,,,,,,2013.07.834,,Timothy P. Sweeney,,,,,
"Atari Connection - Volume 2, Number 1 - Spring 1982",Printed Matter,Periodical,Narrow Topic,Atari 8-Bit,"Atari Connection - Volume 2, Number 1 - Spring 1982",,,,,,,Atari Inc.,English,1982,,C017668-05,,,,,,,,,,2013.07.835,,Timothy P. Sweeney,,,,,
Atari Special Editions - Volume 1 - Winter 1982,Printed Matter,Periodical,Narrow Topic,Atari 8-Bit,Atari Special Editions - Volume 1 - Winter 1982,,,,,,,Atari Inc.,English,1982,,C060018 Rev. 1,,,,,,,,,,2013.07.836,,Timothy P. Sweeney,“Catalog of Additional Products For Your Atari Home Computer”,,,,
"Antic: The ATARI Resource - Volume 1, Number 3 - August 1982",Printed Matter,Periodical,Narrow Topic,Atari 8-Bit,"Antic: The ATARI Resource - Volume 1, Number 3 - August 1982",,,,,,,ANTIC Publishing,English,1982,,,,,,,,,,,,2013.07.837,,Timothy P. Sweeney,,,,,
"Antic: The ATARI Resource - Volume 1, Number 2 - June 1982",Printed Matter,Periodical,Narrow Topic,Atari 8-Bit,"Antic: The ATARI Resource - Volume 1, Number 2 - June 1982",,,,,,,ANTIC Publishing,English,1982,,,,,,,,,,,,2013.07.838,,Timothy P. Sweeney,,,,,
APX - Atari Program Exchange - Software Catalog Winter Edition - 1982-83,Printed Matter,Periodical,Catalog,Software,APX - Atari Program Exchange - Software Catalog Winter Edition - 1982-83,,,,,,,ATARI Program Exchange,English,1982,,,,,,,,,,,,2013.07.839,,Timothy P. Sweeney,“User-Written Software for ATARI Home Computer Systems”,,,,
APX - Atari Program Exchange - Software Catalog Fall Edition - 1982,Printed Matter,Periodical,Catalog,Software,APX - Atari Program Exchange - Software Catalog Fall Edition - 1982,,,,,,,ATARI Program Exchange,English,1982,,,,,,,,,,,,2013.07.840,,Timothy P. Sweeney,“User-Written Software for ATARI Home Computer Systems”,,,,
APX - Atari Program Exchange - Software Catalog Summer Edition - 1982,Printed Matter,Periodical,Catalog,Software,APX - Atari Program Exchange - Software Catalog Summer Edition - 1982,,,,,,,ATARI Program Exchange,English,1982,,,,,,,,,,,,2013.07.841,,Timothy P. Sweeney,“User-Written Software for ATARI Home Computer Systems”,,,,
APX - Atari Program Exchange - Software Catalog Spring Edition - 1982,Printed Matter,Periodical,Catalog,Software,APX - Atari Program Exchange - Software Catalog Spring Edition - 1982,,,,,,,ATARI Program Exchange,English,1982,,,,,,,,,,,,2013.07.842,,Timothy P. Sweeney,“User-Written Software for ATARI Home Computer Systems”,,,,
"Family Computing - Volume 4, Number 8 - August 1986",Printed Matter,Periodical,Broad Topic,General Computing,"Family Computing - Volume 4, Number 8 - August 1986",,,,,,,Scholastic Inc.,English,1986,,76956-14008,,,,,,,,,,2013.07.843,,Timothy P. Sweeney,,,,,
"Family Computing - Volume 4, Number 6 - June 1986",Printed Matter,Periodical,Broad Topic,General Computing,"Family Computing - Volume 4, Number 6 - June 1986",,,,,,,Scholastic Inc.,English,1986,,76956-14008,,,,,,,,,,2013.07.844,,Timothy P. Sweeney,,,,,
"Family Computing - Volume 4, Number 5 - May 1986",Printed Matter,Periodical,Broad Topic,General Computing,"Family Computing - Volume 4, Number 5 - May 1986",,,,,,,Scholastic Inc.,English,1986,,76956-14008,,,,,,,,,,2013.07.845,,Timothy P. Sweeney,,,,,
"Family Computing - Volume 4, Number 2 - February 1986",Printed Matter,Periodical,Broad Topic,General Computing,"Family Computing - Volume 4, Number 2 - February 1986",,,,,,,Scholastic Inc.,English,1986,,76956-14008,,,,,,,,,,2013.07.846,,Timothy P. Sweeney,,,,,
The Best of Family Computing,Printed Matter,Periodical,Broad Topic,General Computing,The Best of Family Computing,,,,,Joel Latimer,,Scholastic Inc.,English,1985,, 0-590-39044-9,,,,,,,,,,2013.07.847,,Timothy P. Sweeney,,,,,
"Family Computing - Volume 3, Number 11 - November 1985",Printed Matter,Periodical,Broad Topic,General Computing,"Family Computing - Volume 3, Number 11 - November 1995",,,,,,,Scholastic Inc.,English,1985,,76956-14008,,,,,,,,,,2013.07.848,,Timothy P. Sweeney,,,,,
"Family Computing - Volume 2, Number 4 - April 1984",Printed Matter,Periodical,Broad Topic,General Computing,"Family Computing - Volume 2, Number 4 - April 1984",,,,,,,Scholastic Inc.,English,1984,,76956-14008,,,,,,,,,,2013.07.849,,Timothy P. Sweeney,,,,,
"Family Computing - Volume 2, Number 1 - January 1984",Printed Matter,Periodical,Broad Topic,General Computing,"Family Computing - Volume 2, Number 1 - January 1984",,,,,,,Scholastic Inc.,English,1984,,76956-14008,,,,,,,,,,2013.07.850,,Timothy P. Sweeney,,,,,
"Family Computing - Volume 1, Number 4 - December 1983",Printed Matter,Periodical,Broad Topic,General Computing,"Family Computing - Volume 1, Number 4 - December 1983",,,,,,,Scholastic Inc.,English,1983,,76956-14008,,,,,,,,,,2013.07.851,,Timothy P. Sweeney,,,,,
"Family Computing - Volume 1, Number 3 - November 1983",Printed Matter,Periodical,Broad Topic,General Computing,"Family Computing - Volume 1, Number 3 - November 1983",,,,,,,Scholastic Inc.,English,1983,,76956-14008,,,,,,,,,,2013.07.852,,Timothy P. Sweeney,,,,,
"Family Computing - Volume 1, Number 2 - October 1983",Printed Matter,Periodical,Broad Topic,General Computing,"Family Computing - Volume 1, Number 2 - October 1983",,,,,,,Scholastic Inc.,English,1983,,76956-14008,,,,,,,,,,2013.07.853,,Timothy P. Sweeney,,,,,
10 Starter Programs from Family Computing,Printed Matter,Periodical,Broad Topic,General Computing,10 Starter Programs from Family Computing,,,,,Joey Latimer,,Scholastic Inc.,English,1983,,0-590-39012-0,,,,,,,,,,2013.07.854,,Timothy P. Sweeney,"For Apple, Atari, Commodore 64 and VIC-20, TI, TIMEX and TRS-80",,,,
Apple II - Monitor II User’s Manual,Printed Matter,Manual,User,"Apple Computer, Inc.",Apple II - Monitor II User’s Manual,,,,,"Apple Computer, Inc.",,"Apple Computer, Inc.",English,1982,,030-0598-A,,,,,,,,,,2013.07.856,,Timothy P. Sweeney,In plastic wrapping with other related documents.,,,,
Macintosh - Full Impact (Manual),Printed Matter,Manual,User,"Apple Computer, Inc.",Macintosh - Full Impact (Manual),,,,,Ashton-Tate,,Ashton-Tate,English,1990,,,,,,,,,,,,2013.07.858,,Timothy P. Sweeney,Binder containing multiple manuals for Full Impact 2.0.,,,,
The Three Stooges (User Manual),Printed Matter,Manual,User,Software,The Three Stooges (User Manual),,,,,,,,English,,,,,,,,,,,,,2013.07.863,,,,,,,
TV Sports: Football (User’s Manual),Printed Matter,Manual,User,Software,TV Sports: Football (User’s Manual),,,,,,,,English,,,,,,,,,,,,,2013.07.868,,,,,,,
Ultima IV (User’s Manual),Printed Matter,Manual,User,Software,Manual,,,,,,,,English,,,,,,,,,,,,,2013.07.871,,,In legal folder.,,,,
Starfleet Command (User Manual),Printed Matter,Manual,User,Software,Starfleet Command (User Manual),,,,,,,,English,,,,,,,,,,,,,2013.07.878,,,In legal folder.,,,,
Automated Analysis of Language Style and Structure: 1969-1970,Printed Matter,Periodical,Journal,Academic,Automated Analysis of Language Style and Structure: 1969-1970,,,,,"Sally Y. Sedelow, et al. (Office of Naval Research, U. S. Navy)",,University of North Carolina at Chapel Hill,English,1970,,Contract N00014-67-A-0321-001,,,,,,,,,,2013.08.11,,Aaron Kuhn,"Report on research for the period March 1, 1969 - August 31, 1970. Research conducted under Office of Naval Research, U.S. Navy, Task No. NR348-005.",,,,
The Silicon Idol: The Micro Revolution and Its Social Implications,Printed Matter,Book,Academic,Theory,The Silicon Idol: The Micro Revolution and Its Social Implications,,,,,Michael Shallis,,Oxford UP,English,1984,, 0-19-215877-5,,,,,,,,,,2013.08.12,,Aaron Kuhn,,,,,
A Guide to Computer Applications in the Humanities,Printed Matter,Book,Academic,Practice,A Guide to Computer Applications in the Humanities,,,,,Susan Hockey,,Johns Hopkins UP,English,1986,, 0-8018-2891-0,,,,,,,,,,2013.08.13,,Aaron Kuhn,2 of 2 duplicate copies (different editions).,,,,
Computer-Aided Instruction in the Humanities,Printed Matter,Book,Academic,Conference Proceedings,Computer-Aided Instruction in the Humanities,,,,,,,The Modern Language Association of America,English,1985,, 0-87352-553-1,,,,,,,,,,2013.08.14,,Aaron Kuhn,2 of 2 duplicate copies. Papers chosen from a conference on instructional technology in February 1983 organized by the Modern Language Association of America.,,,,
The Computer in Literary and Linguistic Research: Papers from a Cambridge Symposium,Printed Matter,Book,Academic,Conference Proceedings,The Computer in Literary and Linguistic Research: Papers from a Cambridge Symposium,,,,,,,Cambridge UP,English,1971,,0-521-08146-7,,,,,,,,,,2013.08.15,,Aaron Kuhn,"2 of 2 duplicate copies.Three volumes of papers from the Second International Congress of Applied Linguistics, Cambridge, 1969. Duplicate copy.",,,,
Model 353 - Printer - Technical Manual,Printed Matter,Manual,User,Printer,Model 353 - Printer - Technical Manual,,,,,Centronics,,Centronics,English,May 1982,,37403530 REV A,,,,,,,,,,2013.10.15,,Brad Feld,,,,,
"Macworld - Volume 2, Number 11 - November 1985",Printed Matter,Periodical,Narrow Topic,"Apple Computer, Inc.","Macworld - Volume 2, Number 11 - November 1985",,,,,,,PC World Communications,English,1985,,ISSN 0741-8647,,,,,,,,,,2013.10.16,,Brad Feld,,,,,
"Macworld - Volume 2, Number 10 - October 1985",Printed Matter,Periodical,Narrow Topic,"Apple Computer, Inc.","Macworld - Volume 2, Number 10 - October 1985",,,,,,,PC World Communications,English,1985,,ISSN 0741-8647,,,,,,,,,,2013.10.17,,Brad Feld,,,,,
"Macworld - Volume 2, Number 8 - August 1985",Printed Matter,Periodical,Narrow Topic,"Apple Computer, Inc.","Macworld - Volume 2, Number 8 - August 1985",,,,,,,PC World Communications,English,1985,,ISSN 0741-8647,,,,,,,,,,2013.10.18,,Brad Feld,,,,,
"Macworld - Volume 2, Number 7 - July 1985",Printed Matter,Periodical,Narrow Topic,"Apple Computer, Inc.","Macworld - Volume 2, Number 7 - July 1985",,,,,,,PC World Communications,English,1985,,ISSN 0741-8647,,,,,,,,,,2013.10.19,,Brad Feld,,,,,
Altair Computer System Documentation - Altair 8800 Operator’s Manual,Printed Matter,Manual,User,MITS,Altair Computer System Documentation - Altair 8800 Operator’s Manual,,,,,MITS Inc.,,MITS,English,1975,,,,,,,,,,,,2013.10.2,,Brad Feld,White binder with pages.,,,,
"Macworld - Volume 2, Number 6 - June 1985",Printed Matter,Periodical,Narrow Topic,"Apple Computer, Inc.","Macworld - Volume 2, Number 6 - June 1985",,,,,,,PC World Communications,English,1985,,ISSN 0741-8647,,,,,,,,,,2013.10.20,,Brad Feld,,,,,
"Macworld - Volume 2, Number 5 - May 1985",Printed Matter,Periodical,Narrow Topic,"Apple Computer, Inc.","Macworld - Volume 2, Number 5 - May 1985",,,,,,,PC World Communications,English,1985,,ISSN 0741-8647,,,,,,,,,,2013.10.21,,Brad Feld,,,,,
"Macworld - Volume 2, Number 3 - March 1985",Printed Matter,Periodical,Narrow Topic,"Apple Computer, Inc.","Macworld - Volume 2, Number 3 - March 1985",,,,,,,PC World Communications,English,1985,,ISSN 0741-8647,,,,,,,,,,2013.10.22,,Brad Feld,,,,,
"Macworld - Volume 2, Number 2 - February 1985",Printed Matter,Periodical,Narrow Topic,"Apple Computer, Inc.","Macworld - Volume 2, Number 2 - February 1985",,,,,,,PC World Communications,English,1985,,ISSN 0741-8647,,,,,,,,,,2013.10.23,,Brad Feld,,,,,
"Macworld - Volume 2, Number 1 - January 1985",Printed Matter,Periodical,Narrow Topic,"Apple Computer, Inc.","Macworld - Volume 2, Number 1 - January 1985",,,,,,,PC World Communications,English,1985,,ISSN 0741-8647,,,,,,,,,,2013.10.24,,Brad Feld,,,,,
"Macworld - Volume 1, Number 2 - May/June 1984",Printed Matter,Periodical,Narrow Topic,"Apple Computer, Inc.","Macworld - Volume 1, Number 2 - May/June 1984",,,,,,,PC World Communications,English,1984,,ISSN 0741-8647,,,,,,,,,,2013.10.25,,Brad Feld,,,,,
"PC Tech Journal - Vol. 3, No. 9 - September 1985",Printed Matter,Periodical,Narrow Topic,PC,"PC Tech Journal - Vol. 3, No. 9 - September 1985",,,,,,,Ziff-Davis Publishing Company,English,1985,,ISSN 0738-0194,,,,,,,,,,2013.10.26,,Brad Feld,,,,,
PC World - October 1985,Printed Matter,Periodical,Broad Topic,General Computing,PC World - October 1985,,,,,,,PC World Communications,English,1985,,ISSN 0737-8939,,,,,,,,,,2013.10.27,,Brad Feld,,,,,
"BYTE: The Small Systems Journal - Vol. 10, No. 12 - December 1985",Printed Matter,Periodical,Broad Topic,General Computing,"BYTE: The Small Systems Journal - Vol. 10, No. 12 - December 1985",,,,,,,McGraw-Hill,English,1985,,ISSN 0360-5280,,,,,,,,,,2013.10.28,,Brad Feld,,,,,
"BYTE: The Small Systems Journal - Vol. 10, No. 11 - November 1985",Printed Matter,Periodical,Broad Topic,General Computing,"BYTE: The Small Systems Journal - Vol. 10, No. 11 - November 1985",,,,,,,"McGraw-Hill Publication Company, Inc.",English,1985,,ISSN 0360-5280,,,,,,,,,,2013.10.29,,Brad Feld,,,,,
"BYTE: The Small Systems Journal - Vol. 10, No. 10 - October 1985",Printed Matter,Periodical,Broad Topic,General Computing,"BYTE: The Small Systems Journal - Vol. 10, No. 10 - October 1985",,,,,,,"McGraw-Hill Publication Company, Inc.",English,1985,,ISSN 0360-5280,,,,,,,,,,2013.10.30,,Brad Feld,,,,,
"BYTE: The Small Systems Journal - Vol. 10, No. 9 - September 1985",Printed Matter,Periodical,Broad Topic,General Computing,"BYTE: The Small Systems Journal - Vol. 10, No. 9 - September 1985",,,,,,,"McGraw-Hill Publication Company, Inc.",English,1985,,ISSN 0360-5280,,,,,,,,,,2013.10.31,,Brad Feld,,,,,
The Macintosh Buyer’s Guide - Premiere Issue - Winter 1984,Printed Matter,Periodical,Narrow Topic,"Apple Computer, Inc.",The Macintosh Buyer’s Guide - Premiere Issue - Winter 1984,,,,,,,Redgate Publishing Company,English,1984,,,,,,,,,,,,2013.10.32,,Brad Feld,,,,,
"PC: The Independent Guide to IBM Personal Computers - Volume 4, Number 23 - November 12, 1985",Printed Matter,Periodical,Narrow Topic,PC,"PC: The Independent Guide to IBM Personal Computers - Volume 4, Number 23 - November 12, 1985",,,,,,,PC Communications Corp,English,1985,,ISSN 0745-2500,,,,,,,,,,2013.10.33,,Brad Feld,,,,,
Macintosh Update Coupons,Printed Matter,Ephemera,Advertising,Coupons,Macintosh Update Coupons,,,,,,,,English,,,,,,,,,,,,,2013.10.36,,Brad Feld,Various coupons in envelope.,,,,
LOGO,Printed Matter,Book,Reference,Programming,LOGO,,,,,Harold Abelson,,MIT,English,,,,,,,,,,,,,2013.10.37,,Brad Feld,Book Draft,,,,
