Name,Medium,Type,Format,Intended Compatibility,Product Name,Username,Developer,Author,Publisher,Language,Year,Parts,Original Price,Identifying #,Accession Number,Date tested,Donor,Notes
[Flight Landing Simulator],Software,Game,5¼” Floppy Disk,Atari 800,Flight Landing Simulator,747 Landing Simulator,Main Street Publishing,William J. Graham,Main Street Publishing,English,1981,"Case, Instruction Manual",N/A,90220240,2013.07.305,,,User Name listed online differs from product name on case.
[Football],Software,Game,Cartridge,Atari 2600,Football,Football,Atari,Bob Whitehead,Atari,English,1979,N/A,N/A,N/A,2014.05.10,6/02/2013,Gary and Colleen Rynearson,
[Golf],Software,Game,Cartridge,Atari 2600,Golf,Golf,Atari,N/A,Atari,English,1980,N/A,N/A,N/A,2014.05.27,,Gary and Colleen Rynearson,
[Home Run],Software,Game,Cartridge,Atari 2600,Home Run,Home Run,Atari,Bob Whitehead,Atari,English,1978,N/A,N/A,N/A,2014.05.28,,Gary and Colleen Rynearson,
[Indy 500],Software,Game,Cartridge,Atari 2600,Indy 500,Indy 500,Atari,Ed Riddle,Atari,English,1977,N/A,N/A,N/A,2014.05.29,,Gary and Colleen Rynearson,
[Kickback],Software,Game,Cassette Tape,Atari 400 / 800,Kickback,Kickback,Thorn EMI,A. French,Thorn EMI,English,1982,"Case, Instruction Manual",N/A,THB 12004 N,2013.07.3024,6/02/2013,,
[Microsailing],Software,Game,5¼” Floppy Disk,Atari 400 / 800,Microsailing,Microsailing,Main Street Publishing,Glenn Faden,Main Street Publishing,English,1981,Case,N/A,90477240,2013.07.306,6/02/2013,,Accurate information about this game is difficult to obtain.
[Missile Command],Software,Game,Cartridge,Atari 2600,Missile Command,Missile Command,Atari,Rob Fulop,Atari,English,1981,N/A,N/A,N/A,2014.05.30,,Gary and Colleen Rynearson,
[Ms. Pac-Man],Software,Game,Cartridge,Atari 400 / 800 / XL / XE,Ms. Pac-Man,Ms. Pac-Man,Atari,N/A,Atari,English,1983,N/A,N/A,RX8043,2013.07.301,6/02/2013,,
[Night Driver],Software,Game,Cartridge,Atari 2600,Night Driver,Night Driver,Atari,Rob Fulop,Atari,English,1978,N/A,N/A,N/A,2014.05.31,,Gary and Colleen Rynearson,
[Othello],Software,Game,Cartridge,Atari 2600,Othello,Othello,Atari,Ed Logg,Atari,English,1980,N/A,N/A,N/A,2014.05.32,,Gary and Colleen Rynearson,
[Outlaw],Software,Game,Cartridge,Atari 2600,Outlaw,Outlaw,Atari,David Crane,Atari,English,1978,N/A,N/A,N/A,2014.05.33,,Gary and Colleen Rynearson,
[Pac-Man (Atari 400/800)],Software,Game,Cartridge,Atari 400 / 800 / XL / XE,Pac-Man,Pac-Man (Atari 400/800),Atari,N/A,Atari,English,1982,N/A,N/A,CXL4022,2013.07.299,5/14/2013,,
[Pac-Man (Atari 2600)],Software,Game,Cartridge,Atari 2600,Pac-Man,Pac-Man (Atari 2600),Atari,Tod Frye,Atari,English,1982,N/A,N/A,N/A,2014.05.34,,Gary and Colleen Rynearson,Licensed by Namco.
[Pelé’s Soccer],Software,Game,Cartridge,Atari 2600,Pelé’s Soccer,Pelé’s Soccer,Atari,Steve Wright,Atari,English,1980,N/A,N/A,N/A,2014.05.35,,Gary and Colleen Rynearson,
[Space Invaders],Software,Game,Cartridge,Atari 2600,Space Invaders,Space Invaders,Atari,Rick Maurer,Atari,English,1980,N/A,N/A,N/A,2014.05.36,,Gary and Colleen Rynearson,Licensed by Taito Corporation.
[Space War],Software,Game,Cartridge,Atari 2600,Space War,Space War,Atari,Steve Russell,Atari,English,1978,N/A,N/A,N/A,2014.05.37,,Gary and Colleen Rynearson,
[Street Racer],Software,Game,Cartridge,Atari 2600,Street Racer,Street Racer,Atari,Larry Kaplan,Atari,English,1979,N/A,N/A,N/A,2014.05.17,,Gary and Colleen Rynearson,
[Super Breakout],Software,Game,Cartridge,Atari 400 / 800 / XL / XE,Super Breakout,Super Breakout,Atari,N/A,Atari,English,1979,N/A,N/A,CXL4006,2013.07.297,6/02/2013,,Requires paddles to play.
[Superman],Software,Game,Cartridge,Atari 2600,Superman,Superman,Atari,John Dunn,Atari,English,1979,N/A,N/A,N/A,2014.05.18,,Gary and Colleen Rynearson,
[Video Checkers],Software,Game,Cartridge,Atari 2600,Video Checkers,Video Checkers,Atari,Carol Shaw,Atari,English,1980,N/A,N/A,N/A,2014.05.14,,Gary and Colleen Rynearson,
[Video Chess],Software,Game,Cartridge,Atari 2600,Video Chess,Video Chess,Atari,"Larry Wagner, Bob Whitehead",Atari,English,1979,N/A,N/A,N/A,2014.05.19,,Gary and Colleen Rynearson,
[Video Olympics],Software,Game,Cartridge,Atari 2600,Video Olympics,Video Olympics,Atari,Joe Decuir,Atari,English,1977,N/A,N/A,N/A,2014.05.26,,Gary and Colleen Rynearson,
[Warlords],Software,Game,Cartridge,Atari 2600,Warlords,Warlords,Atari,Carla Meninsky,Atari,English,1981,N/A,N/A,N/A,2014.05.16,,Gary and Colleen Rynearson,
